"D=2,N1012"	
-0.8618 	-0.9283 
1.4011 	-1.1300 
-0.7098 	-1.3591 
-0.7121 	-1.6532 
-0.4235 	-1.1938 
0.5544 	-1.7125 
-0.8167 	-1.2978 
-1.5213 	-0.1916 
-0.6223 	1.1033 
1.6482 	-0.7234 
0.0398 	1.7996 
-1.7955 	-0.1266 
-0.0932 	-1.5305 
-0.0332 	1.2662 
0.8665 	-1.2650 
-1.2304 	-0.3008 
1.2953 	-0.8205 
-1.0645 	1.4515 
1.4085 	-0.6061 
1.6175 	-0.7897 
-1.3064 	-0.8028 
1.4444 	1.0741 
-1.0275 	1.1381 
-0.2048 	1.2500 
-0.1548 	1.5255 
0.2644 	1.7805 
1.2666 	0.0105 
1.1997 	-0.9549 
-1.2130 	0.3649 
-1.1160 	-0.5992 
-0.6143 	1.4049 
1.7987 	-0.0677 
1.5255 	-0.1549 
1.7555 	-0.3976 
-0.7700 	-1.3260 
-0.2288 	-1.5162 
-0.9069 	1.5548 
-1.2537 	-0.1806 
-0.1852 	1.2531 
-0.3553 	-1.7646 
0.3152 	-1.7722 
1.1059 	0.6176 
0.2724 	1.5090 
0.3613 	1.2140 
-1.2800 	-1.2656 
-0.2379 	-1.5148 
0.6404 	-1.0928 
1.7873 	0.2132 
0.5334 	1.7192 
-1.5045 	0.2959 
-1.1071 	1.0609 
-0.6814 	1.0678 
1.1661 	0.4946 
0.1091 	-1.5294 
-1.2554 	0.8804 
-0.5801 	-1.1260 
-1.4551 	-0.4837 
1.2010 	0.4024 
-0.6362 	1.6838 
1.2369 	-0.2729 
1.3934 	-0.6400 
-1.1047 	1.0634 
-1.1330 	-1.0332 
-1.4165 	-0.5871 
0.7434 	-1.3411 
1.7368 	-0.4728 
1.1268 	0.5786 
1.1692 	-0.9920 
-1.6632 	-0.6883 
0.4339 	1.1900 
0.3211 	1.7711 
-0.4939 	-1.7309 
-1.0397 	-0.7235 
-1.0850 	-0.6536 
1.5034 	-0.3016 
-1.5678 	-0.8844 
1.2416 	0.8997 
0.9006 	1.5585 
1.0149 	0.7579 
0.7685 	1.0069 
-0.8516 	-1.5858 
-1.1486 	-1.3859 
-1.2521 	1.2931 
0.9369 	1.5370 
-1.3834 	1.1516 
0.3912 	-1.2047 
-1.2393 	0.9029 
0.0579 	-1.7991 
-0.4297 	1.4719 
-0.9773 	-1.1815 
1.1509 	-1.0132 
0.4515 	1.7424 
-1.2570 	0.1559 
1.1629 	0.9994 
0.8532 	0.9362 
1.4110 	0.6001 
1.3469 	0.7328 
-1.2571 	-1.2883 
-1.3015 	0.8107 
-0.9878 	-1.1727 
0.7861 	-0.9932 
0.1079 	-1.2621 
1.2525 	-0.1890 
0.3019 	-1.5033 
1.1643 	-0.4988 
-0.0863 	-1.2637 
-0.0409 	1.7995 
-0.2944 	-1.5048 
-0.6255 	-1.6878 
0.2239 	-1.5169 
-0.0221 	-1.2665 
-0.5277 	1.1515 
-1.5300 	-0.1004 
0.2215 	-1.5173 
-1.6149 	-0.7951 
1.7249 	-0.5147 
0.7254 	1.3509 
1.2802 	-0.8440 
0.0177 	-1.2665 
-0.4056 	1.7537 
-1.0677 	-1.1005 
-1.2323 	0.2932 
0.8703 	0.9203 
-1.7140 	-0.5496 
1.7671 	-0.3427 
-1.6824 	0.6401 
-1.2896 	-0.8294 
1.3799 	1.1558 
0.4752 	1.4578 
0.7973 	1.3097 
1.7519 	0.4134 
-0.2182 	1.5177 
0.1577 	1.2568 
-0.7984 	0.9833 
1.1959 	1.3453 
1.7999 	-0.0159 
-1.7935 	-0.1527 
-1.1681 	0.9933 
0.0014 	1.5333 
-0.8362 	0.9514 
-1.4499 	1.0666 
1.3719 	-0.6849 
-1.5327 	0.0436 
-1.3928 	-1.1403 
1.5326 	0.0463 
-1.3062 	-0.8030 
0.2175 	-1.2479 
-0.6975 	-1.0573 
-1.5091 	-0.2714 
0.7027 	-1.3628 
1.2315 	-0.2962 
-0.4938 	1.1664 
0.5248 	-1.7218 
-0.3946 	1.7562 
1.5266 	0.1433 
1.0514 	0.7064 
-0.6013 	1.1148 
-0.5245 	1.4408 
1.2586 	0.1431 
0.6638 	1.0788 
-1.1890 	0.4366 
0.1613 	-1.5248 
-0.7535 	-1.6347 
-0.3388 	-1.4954 
-1.2264 	0.3167 
1.1072 	-0.6153 
1.2636 	-0.0879 
1.1548 	-0.5205 
-1.7477 	0.4309 
1.0473 	-0.7125 
-1.3610 	1.1780 
-1.2232 	-0.9246 
-1.1768 	-0.4687 
0.8685 	-1.2636 
-0.3905 	1.7571 
-0.7944 	-1.3115 
-1.4411 	-1.0786 
-0.9980 	-1.4980 
-0.5639 	1.4259 
-0.7525 	1.3360 
0.5806 	1.4192 
1.2366 	0.9066 
-0.3492 	1.4930 
-0.7753 	1.0017 
-1.4948 	-0.3416 
1.2646 	-0.0729 
1.5094 	0.2701 
-0.3186 	-1.2259 
1.4897 	-1.0103 
1.1974 	-1.3440 
1.1232 	1.0438 
1.7294 	-0.4992 
-1.6773 	0.6531 
1.2789 	-1.2667 
0.8374 	-0.9504 
-0.7773 	1.0001 
-0.8604 	-0.9296 
1.0108 	-1.1530 
1.2557 	0.1666 
1.5944 	0.8355 
-0.9053 	0.8860 
0.9075 	1.2359 
1.2377 	0.2693 
0.3086 	-1.5020 
-0.8397 	1.5921 
0.5211 	-1.1545 
0.5848 	1.1236 
-0.6865 	-1.3711 
1.2776 	-1.2680 
0.0569 	-1.2654 
0.2298 	1.7853 
-1.1381 	1.3945 
-1.0007 	1.1618 
-0.1969 	1.7892 
-0.6605 	1.0808 
1.5379 	0.9353 
-1.4629 	0.4595 
-1.4715 	0.4309 
1.5079 	0.2782 
-0.8250 	-0.9611 
1.1793 	0.4623 
0.7455 	1.3399 
-0.7182 	-1.6505 
-1.6952 	-0.6051 
1.5322 	0.0581 
-0.4266 	1.7487 
-1.0952 	1.0732 
0.7669 	1.0081 
1.6062 	0.8125 
-1.2283 	0.3093 
-1.2354 	1.3091 
0.8127 	-1.6061 
-1.2316 	-0.2960 
0.7409 	-1.6405 
-1.7445 	0.4435 
1.2617 	0.1115 
1.2660 	0.0397 
0.9043 	1.5564 
-1.0208 	1.1442 
-0.3571 	-1.7642 
0.9700 	1.5163 
-0.2277 	1.2460 
4.3750 	0.0000 
4.5833 	0.0000 
4.7917 	0.0000 
5.0000 	0.0000 
5.2083 	0.0000 
5.4167 	0.0000 
5.6250 	0.0000 
4.1466 	0.4084 
4.3539 	0.4288 
4.5613 	0.4492 
4.7686 	0.4697 
4.9759 	0.4901 
5.1833 	0.5105 
5.3906 	0.5309 
5.5979 	0.5513 
4.0866 	0.8129 
4.2909 	0.8535 
4.4953 	0.8942 
4.6996 	0.9348 
4.9039 	0.9755 
5.1083 	1.0161 
5.3126 	1.0567 
5.5169 	1.0974 
3.9873 	1.2095 
4.1866 	1.2700 
4.3860 	1.3305 
4.5853 	1.3909 
4.7847 	1.4514 
4.9841 	1.5119 
5.1834 	1.5724 
5.3828 	1.6329 
3.8495 	1.5945 
4.0420 	1.6742 
4.2344 	1.7540 
4.4269 	1.8337 
4.6194 	1.9134 
4.8119 	1.9931 
5.0043 	2.0729 
5.1968 	2.1526 
3.6747 	1.9642 
3.8584 	2.0624 
4.0421 	2.1606 
4.2259 	2.2588 
4.4096 	2.3570 
4.5933 	2.4552 
4.7771 	2.5534 
4.9608 	2.6516 
3.4645 	2.3149 
3.6377 	2.4306 
3.8109 	2.5464 
3.9841 	2.6621 
4.1573 	2.7779 
4.3306 	2.8936 
4.5038 	3.0093 
4.6770 	3.1251 
3.2209 	2.6433 
3.3819 	2.7755 
3.5430 	2.9076 
3.7040 	3.0398 
3.8651 	3.1720 
4.0261 	3.3041 
4.1871 	3.4363 
4.3482 	3.5685 
2.9463 	2.9463 
3.0936 	3.0936 
3.2409 	3.2409 
3.3882 	3.3882 
3.5355 	3.5355 
3.6828 	3.6828 
3.8302 	3.8302 
3.9775 	3.9775 
2.6433 	3.2209 
2.7755 	3.3819 
2.9076 	3.5430 
3.0398 	3.7040 
3.1720 	3.8651 
3.3041 	4.0261 
3.4363 	4.1871 
3.5685 	4.3482 
2.3149 	3.4645 
2.4306 	3.6377 
2.5464 	3.8109 
2.6621 	3.9841 
2.7779 	4.1573 
2.8936 	4.3306 
3.0093 	4.5038 
3.1251 	4.6770 
1.9642 	3.6747 
2.0624 	3.8584 
2.1606 	4.0421 
2.2588 	4.2259 
2.3570 	4.4096 
2.4552 	4.5933 
2.5534 	4.7771 
2.6516 	4.9608 
1.5945 	3.8495 
1.6742 	4.0420 
1.7540 	4.2344 
1.8337 	4.4269 
1.9134 	4.6194 
1.9931 	4.8119 
2.0729 	5.0043 
2.1526 	5.1968 
1.2095 	3.9873 
1.2700 	4.1866 
1.3305 	4.3860 
1.3909 	4.5853 
1.4514 	4.7847 
1.5119 	4.9841 
1.5724 	5.1834 
1.6329 	5.3828 
0.8129 	4.0866 
0.8535 	4.2909 
0.8942 	4.4953 
0.9348 	4.6996 
0.9755 	4.9039 
1.0161 	5.1083 
1.0567 	5.3126 
1.0974 	5.5169 
0.4084 	4.1466 
0.4288 	4.3539 
0.4492 	4.5613 
0.4697 	4.7686 
0.4901 	4.9759 
0.5105 	5.1833 
0.5309 	5.3906 
0.5513 	5.5979 
0.0000 	4.1667 
0.0000 	4.3750 
0.0000 	4.5833 
0.0000 	4.7917 
0.0000 	5.0000 
0.0000 	5.2083 
0.0000 	5.4167 
0.0000 	5.6250 
-0.4084 	4.1466 
-0.4288 	4.3539 
-0.4492 	4.5613 
-0.4697 	4.7686 
-0.4901 	4.9759 
-0.5105 	5.1833 
-0.5309 	5.3906 
-0.5513 	5.5979 
-0.8129 	4.0866 
-0.8535 	4.2909 
-0.8942 	4.4953 
-0.9348 	4.6996 
-0.9755 	4.9039 
-1.0161 	5.1083 
-1.0567 	5.3126 
-1.0974 	5.5169 
-1.2095 	3.9873 
-1.2700 	4.1866 
-1.3305 	4.3860 
-1.3909 	4.5853 
-1.4514 	4.7847 
-1.5119 	4.9841 
-1.5724 	5.1834 
-1.6329 	5.3828 
-1.5945 	3.8495 
-1.6742 	4.0420 
-1.7540 	4.2344 
-1.8337 	4.4269 
-1.9134 	4.6194 
-1.9931 	4.8119 
-2.0729 	5.0043 
-2.1526 	5.1968 
-1.9642 	3.6747 
-2.0624 	3.8584 
-2.1606 	4.0421 
-2.2588 	4.2259 
-2.3570 	4.4096 
-2.4552 	4.5933 
-2.5534 	4.7771 
-2.6516 	4.9608 
-2.3149 	3.4645 
-2.4306 	3.6377 
-2.5464 	3.8109 
-2.6621 	3.9841 
-2.7779 	4.1573 
-2.8936 	4.3306 
-3.0093 	4.5038 
-3.1251 	4.6770 
-2.6433 	3.2209 
-2.7755 	3.3819 
-2.9076 	3.5430 
-3.0398 	3.7040 
-3.1720 	3.8651 
-3.3041 	4.0261 
-3.4363 	4.1871 
-3.5685 	4.3482 
-2.9463 	2.9463 
-3.0936 	3.0936 
-3.2409 	3.2409 
-3.3882 	3.3882 
-3.5355 	3.5355 
-3.6828 	3.6828 
-3.8302 	3.8302 
-3.9775 	3.9775 
-3.2209 	2.6433 
-3.3819 	2.7755 
-3.5430 	2.9076 
-3.7040 	3.0398 
-3.8651 	3.1720 
-4.0261 	3.3041 
-4.1871 	3.4363 
-4.3482 	3.5685 
-3.4645 	2.3149 
-3.6377 	2.4306 
-3.8109 	2.5464 
-3.9841 	2.6621 
-4.1573 	2.7779 
-4.3306 	2.8936 
-4.5038 	3.0093 
-4.6770 	3.1251 
-3.6747 	1.9642 
-3.8584 	2.0624 
-4.0421 	2.1606 
-4.2259 	2.2588 
-4.4096 	2.3570 
-4.5933 	2.4552 
-4.7771 	2.5534 
-4.9608 	2.6516 
-3.8495 	1.5945 
-4.0420 	1.6742 
-4.2344 	1.7540 
-4.4269 	1.8337 
-4.6194 	1.9134 
-4.8119 	1.9931 
-5.0043 	2.0729 
-5.1968 	2.1526 
-3.9873 	1.2095 
-4.1866 	1.2700 
-4.3860 	1.3305 
-4.5853 	1.3909 
-4.7847 	1.4514 
-4.9841 	1.5119 
-5.1834 	1.5724 
-5.3828 	1.6329 
-4.0866 	0.8129 
-4.2909 	0.8535 
-4.4953 	0.8942 
-4.6996 	0.9348 
-4.9039 	0.9755 
-5.1083 	1.0161 
-5.3126 	1.0567 
-5.5169 	1.0974 
-4.1466 	0.4084 
-4.3539 	0.4288 
-4.5613 	0.4492 
-4.7686 	0.4697 
-4.9759 	0.4901 
-5.1833 	0.5105 
-5.3906 	0.5309 
-5.5979 	0.5513 
-4.1667 	0.0000 
-4.3750 	0.0000 
-4.5833 	0.0000 
-4.7917 	0.0000 
-5.0000 	0.0000 
-5.2083 	0.0000 
-5.4167 	0.0000 
-5.6250 	0.0000 
-4.1466 	-0.4084 
-4.3539 	-0.4288 
-4.5613 	-0.4492 
-4.7686 	-0.4697 
-4.9759 	-0.4901 
-5.1833 	-0.5105 
-5.3906 	-0.5309 
-5.5979 	-0.5513 
-4.0866 	-0.8129 
-4.2909 	-0.8535 
-4.4953 	-0.8942 
-4.6996 	-0.9348 
-4.9039 	-0.9755 
-5.1083 	-1.0161 
-5.3126 	-1.0567 
-5.5169 	-1.0974 
-3.9873 	-1.2095 
-4.1866 	-1.2700 
-4.3860 	-1.3305 
-4.5853 	-1.3909 
-4.7847 	-1.4514 
-4.9841 	-1.5119 
-5.1834 	-1.5724 
-5.3828 	-1.6329 
-3.8495 	-1.5945 
-4.0420 	-1.6742 
-4.2344 	-1.7540 
-4.4269 	-1.8337 
-4.6194 	-1.9134 
-4.8119 	-1.9931 
-5.0043 	-2.0729 
-5.1968 	-2.1526 
-3.6747 	-1.9642 
-3.8584 	-2.0624 
-4.0421 	-2.1606 
-4.2259 	-2.2588 
-4.4096 	-2.3570 
-4.5933 	-2.4552 
-4.7771 	-2.5534 
-4.9608 	-2.6516 
-3.4645 	-2.3149 
-3.6377 	-2.4306 
-3.8109 	-2.5464 
-3.9841 	-2.6621 
-4.1573 	-2.7779 
-4.3306 	-2.8936 
-4.5038 	-3.0093 
-4.6770 	-3.1251 
-3.2209 	-2.6433 
-3.3819 	-2.7755 
-3.5430 	-2.9076 
-3.7040 	-3.0398 
-3.8651 	-3.1720 
-4.0261 	-3.3041 
-4.1871 	-3.4363 
-4.3482 	-3.5685 
-2.9463 	-2.9463 
-3.0936 	-3.0936 
-3.2409 	-3.2409 
-3.3882 	-3.3882 
-3.5355 	-3.5355 
-3.6828 	-3.6828 
-3.8302 	-3.8302 
-3.9775 	-3.9775 
-2.6433 	-3.2209 
-2.7755 	-3.3819 
-2.9076 	-3.5430 
-3.0398 	-3.7040 
-3.1720 	-3.8651 
-3.3041 	-4.0261 
-3.4363 	-4.1871 
-3.5685 	-4.3482 
-2.3149 	-3.4645 
-2.4306 	-3.6377 
-2.5464 	-3.8109 
-2.6621 	-3.9841 
-2.7779 	-4.1573 
-2.8936 	-4.3306 
-3.0093 	-4.5038 
-3.1251 	-4.6770 
-1.9642 	-3.6747 
-2.0624 	-3.8584 
-2.1606 	-4.0421 
-2.2588 	-4.2259 
-2.3570 	-4.4096 
-2.4552 	-4.5933 
-2.5534 	-4.7771 
-2.6516 	-4.9608 
-1.5945 	-3.8495 
-1.6742 	-4.0420 
-1.7540 	-4.2344 
-1.8337 	-4.4269 
-1.9134 	-4.6194 
-1.9931 	-4.8119 
-2.0729 	-5.0043 
-2.1526 	-5.1968 
-1.2095 	-3.9873 
-1.2700 	-4.1866 
-1.3305 	-4.3860 
-1.3909 	-4.5853 
-1.4514 	-4.7847 
-1.5119 	-4.9841 
-1.5724 	-5.1834 
-1.6329 	-5.3828 
-0.8129 	-4.0866 
-0.8535 	-4.2909 
-0.8942 	-4.4953 
-0.9348 	-4.6996 
-0.9755 	-4.9039 
-1.0161 	-5.1083 
-1.0567 	-5.3126 
-1.0974 	-5.5169 
-0.4084 	-4.1466 
-0.4288 	-4.3539 
-0.4492 	-4.5613 
-0.4697 	-4.7686 
-0.4901 	-4.9759 
-0.5105 	-5.1833 
-0.5309 	-5.3906 
-0.5513 	-5.5979 
0.0000 	-4.1667 
0.0000 	-4.3750 
0.0000 	-4.5833 
0.0000 	-4.7917 
0.0000 	-5.0000 
0.0000 	-5.2083 
0.0000 	-5.4167 
0.0000 	-5.6250 
0.4084 	-4.1466 
0.4288 	-4.3539 
0.4492 	-4.5613 
0.4697 	-4.7686 
0.4901 	-4.9759 
0.5105 	-5.1833 
0.5309 	-5.3906 
0.5513 	-5.5979 
0.8129 	-4.0866 
0.8535 	-4.2909 
0.8942 	-4.4953 
0.9348 	-4.6996 
0.9755 	-4.9039 
1.0161 	-5.1083 
1.0567 	-5.3126 
1.0974 	-5.5169 
1.2095 	-3.9873 
1.2700 	-4.1866 
1.3305 	-4.3860 
1.3909 	-4.5853 
1.4514 	-4.7847 
1.5119 	-4.9841 
1.5724 	-5.1834 
1.6329 	-5.3828 
1.5945 	-3.8495 
1.6742 	-4.0420 
1.7540 	-4.2344 
1.8337 	-4.4269 
1.9134 	-4.6194 
1.9931 	-4.8119 
2.0729 	-5.0043 
2.1526 	-5.1968 
1.9642 	-3.6747 
2.0624 	-3.8584 
2.1606 	-4.0421 
2.2588 	-4.2259 
2.3570 	-4.4096 
2.4552 	-4.5933 
2.5534 	-4.7771 
2.6516 	-4.9608 
2.3149 	-3.4645 
2.4306 	-3.6377 
2.5464 	-3.8109 
2.6621 	-3.9841 
2.7779 	-4.1573 
2.8936 	-4.3306 
3.0093 	-4.5038 
3.1251 	-4.6770 
2.6433 	-3.2209 
2.7755 	-3.3819 
2.9076 	-3.5430 
3.0398 	-3.7040 
3.1720 	-3.8651 
3.3041 	-4.0261 
3.4363 	-4.1871 
3.5685 	-4.3482 
2.9463 	-2.9463 
3.0936 	-3.0936 
3.2409 	-3.2409 
3.3882 	-3.3882 
3.5355 	-3.5355 
3.6828 	-3.6828 
3.8302 	-3.8302 
3.9775 	-3.9775 
3.2209 	-2.6433 
3.3819 	-2.7755 
3.5430 	-2.9076 
3.7040 	-3.0398 
3.8651 	-3.1720 
4.0261 	-3.3041 
4.1871 	-3.4363 
4.3482 	-3.5685 
3.4645 	-2.3149 
3.6377 	-2.4306 
3.8109 	-2.5464 
3.9841 	-2.6621 
4.1573 	-2.7779 
4.3306 	-2.8936 
4.5038 	-3.0093 
4.6770 	-3.1251 
3.6747 	-1.9642 
3.8584 	-2.0624 
4.0421 	-2.1606 
4.2259 	-2.2588 
4.4096 	-2.3570 
4.5933 	-2.4552 
4.7771 	-2.5534 
4.9608 	-2.6516 
3.8495 	-1.5945 
4.0420 	-1.6742 
4.2344 	-1.7540 
4.4269 	-1.8337 
4.6194 	-1.9134 
4.8119 	-1.9931 
5.0043 	-2.0729 
5.1968 	-2.1526 
3.9873 	-1.2095 
4.1866 	-1.2700 
4.3860 	-1.3305 
4.5853 	-1.3909 
4.7847 	-1.4514 
4.9841 	-1.5119 
5.1834 	-1.5724 
5.3828 	-1.6329 
4.0866 	-0.8129 
4.2909 	-0.8535 
4.4953 	-0.8942 
4.6996 	-0.9348 
4.9039 	-0.9755 
5.1083 	-1.0161 
5.3126 	-1.0567 
5.5169 	-1.0974 
4.1466 	-0.4084 
4.3539 	-0.4288 
4.5613 	-0.4492 
4.7686 	-0.4697 
4.9759 	-0.4901 
5.1833 	-0.5105 
5.3906 	-0.5309 
5.5979 	-0.5513 
4.1667 	0.0000 
