"D=2,N=2000"	
-4.7348 	-10.2705 
-4.3407 	-3.2709 
-0.4057 	-4.7480 
-1.5095 	7.5977 
-5.6191 	-1.5230 
5.5218 	6.7432 
-3.3236 	6.6421 
-3.0013 	-10.6772 
-1.2553 	-10.9893 
3.0078 	-2.3994 
7.9350 	-6.4289 
-5.8890 	3.0221 
1.6296 	8.0690 
7.8853 	4.3918 
-2.4751 	-10.8230 
1.2577 	7.9703 
-4.7719 	-10.2201 
-5.1237 	4.9761 
8.9632 	-4.4344 
9.4136 	-2.3607 
7.6187 	4.6737 
8.9322 	-4.3489 
9.4219 	-2.5071 
-4.9159 	-2.7554 
-1.9694 	-4.6047 
-5.6324 	-9.9359 
-4.6227 	-3.0581 
3.3849 	-0.7343 
8.4380 	3.6053 
1.0893 	-10.8170 
9.4642 	-2.6601 
-5.4298 	-2.1226 
-1.6484 	7.5126 
3.7924 	7.4795 
-4.7708 	-10.3473 
-3.9046 	-3.8637 
2.4160 	-10.4488 
9.5378 	-1.1697 
-1.3190 	7.7224 
-5.5246 	-2.1064 
1.9278 	8.0545 
4.9708 	6.9075 
-1.5201 	-4.6142 
9.1220 	2.1309 
-6.1292 	0.3032 
-0.6813 	7.7183 
8.9774 	2.4402 
-6.1084 	1.8930 
-5.4119 	4.2247 
9.4817 	0.4812 
-6.0696 	2.7994 
4.1382 	-9.7557 
-4.7400 	-10.2543 
8.0485 	-5.8765 
-3.0389 	6.7675 
8.8993 	2.4174 
-0.5123 	-4.7171 
-0.3435 	-11.0230 
1.1044 	-10.7945 
4.5129 	-9.4517 
-6.0430 	2.4582 
9.2612 	1.7103 
3.2403 	0.3413 
1.6734 	7.9640 
-4.6520 	5.5117 
-4.0266 	-3.5443 
-4.9341 	-2.6398 
1.5893 	8.0646 
0.5279 	-4.5689 
9.3165 	1.4782 
4.4512 	7.3507 
8.9479 	-4.1238 
8.9171 	-4.4665 
9.5625 	-0.7294 
3.4797 	-0.7462 
2.2447 	-3.4936 
-4.2669 	5.8094 
7.3951 	5.1721 
9.5077 	-1.6837 
0.6446 	7.9804 
4.3888 	-9.6591 
8.4098 	-5.3171 
-3.9582 	-10.5414 
7.4087 	5.1665 
-4.0671 	6.0095 
-0.2726 	-4.6183 
9.4647 	0.7631 
6.2975 	-8.2427 
1.6145 	8.0749 
0.7305 	-4.5132 
-5.9599 	2.8905 
-3.6142 	-3.8257 
-5.7084 	3.7303 
2.6814 	7.8407 
7.2895 	5.3839 
3.7309 	7.5700 
1.4104 	-10.7163 
6.7360 	5.6130 
-2.5827 	-10.8499 
9.5945 	-0.7968 
-3.3668 	-10.5856 
-6.3502 	1.1312 
9.2824 	-3.0629 
-5.3984 	4.1937 
9.2934 	-2.7332 
9.0963 	-4.1776 
2.1837 	-3.3818 
-6.1459 	2.0229 
-6.1796 	0.0701 
9.3773 	-2.6368 
3.1070 	-10.1353 
-3.1610 	6.8299 
6.2852 	-8.2934 
9.3669 	-2.9433 
1.7480 	1.7475 
9.2186 	1.4121 
-0.7146 	7.8336 
-1.0654 	-10.8601 
0.7190 	1.8846 
4.0312 	7.4577 
1.7025 	7.9928 
3.8805 	7.4701 
6.7633 	-7.7314 
-4.2565 	5.9110 
6.1467 	-8.4484 
4.3906 	7.2617 
3.3904 	-0.9144 
-4.8962 	-2.8736 
8.3963 	-5.6046 
4.4881 	7.2916 
-3.5522 	-3.8913 
-3.1912 	6.6464 
9.4602 	0.9817 
-5.3578 	-2.0226 
7.8745 	-6.3747 
-6.3024 	1.3102 
-1.1322 	-10.8913 
-5.9655 	2.9295 
6.8973 	-7.5508 
-5.2940 	-2.1111 
-5.5959 	4.0496 
0.7645 	-4.3581 
8.8121 	2.7561 
9.1664 	-3.4197 
8.0253 	4.3797 
1.7823 	7.9207 
9.5617 	-1.2595 
9.6548 	-1.2952 
9.3283 	-3.1390 
9.5644 	-0.6608 
-2.5813 	-10.8899 
-5.9285 	-0.8880 
8.7229 	-4.9469 
-6.2217 	0.9309 
-1.3872 	-4.6837 
9.3237 	0.9929 
3.2613 	7.8052 
3.8231 	7.6159 
9.4691 	-2.1201 
6.6079 	-7.9087 
-2.7868 	6.9182 
9.4473 	-2.1539 
1.1519 	8.0557 
3.2924 	-10.0769 
3.6872 	-9.9205 
-6.1837 	2.1982 
9.4168 	0.7028 
8.8753 	2.5517 
7.6810 	4.6911 
1.5943 	-10.6298 
-6.0583 	2.7063 
-4.4222 	5.7587 
-1.3878 	-4.7156 
-2.3588 	-10.8322 
9.4953 	-1.1491 
4.9132 	7.1245 
9.6185 	-0.7756 
7.8207 	4.5514 
9.6243 	-1.2682 
7.7574 	4.4045 
8.3832 	-5.6034 
6.9068 	5.4097 
-5.3850 	-10.0718 
-6.2114 	-0.3701 
-0.4147 	-4.7005 
-0.7148 	-4.7404 
2.4665 	-3.1812 
0.3874 	8.0760 
3.0684 	7.7099 
-1.8759 	7.3883 
7.0400 	-7.4625 
9.6378 	-0.2070 
6.5593 	-7.9651 
-1.9466 	-10.8895 
-4.2215 	-10.3692 
-5.4601 	-1.9728 
-2.7764 	-4.3166 
8.9149 	-4.1435 
0.5226 	-4.5074 
7.0633 	5.3598 
7.2355 	5.2337 
2.2621 	-10.5855 
5.1884 	6.8518 
-0.1431 	7.8932 
9.4471 	-2.7353 
7.6802 	-6.4407 
6.9373 	5.5909 
-2.8704 	6.8875 
-3.4120 	-3.9591 
9.0388 	2.2580 
-6.1424 	2.6515 
3.3256 	-1.7508 
7.2362 	-7.1553 
-6.2826 	1.3167 
2.8609 	7.7817 
9.2305 	-3.7763 
-2.2933 	7.1631 
7.9055 	-6.1994 
-0.1367 	7.8633 
9.3134 	-3.3719 
8.9168 	-4.5556 
2.7952 	7.9117 
2.9820 	0.7146 
-3.7087 	6.2038 
1.6650 	7.9740 
-5.8624 	3.1867 
-5.7195 	-1.6187 
4.2951 	-9.5459 
2.0657 	7.9586 
0.5966 	-10.9271 
-0.4079 	7.9030 
6.6711 	-7.8273 
-0.0654 	7.9418 
4.9318 	-9.1854 
7.2949 	-7.1400 
-1.3024 	7.6871 
-6.0597 	-0.4614 
5.7645 	-8.6622 
-2.9360 	-10.7754 
-3.9895 	6.0409 
9.3274 	-2.7214 
2.6466 	7.9730 
3.7628 	-10.0162 
6.8080 	-7.8555 
-4.3647 	-3.2079 
2.0594 	-10.5665 
-5.1535 	-10.2072 
6.5907 	5.8950 
0.7612 	-10.8712 
9.0303 	2.2310 
-3.6856 	-3.9107 
-5.6834 	-1.5050 
0.6085 	8.0201 
7.5069 	-6.8520 
4.0473 	-9.6978 
5.8301 	-8.5651 
-4.3014 	5.7254 
7.5295 	4.9007 
0.8314 	-4.3474 
-0.7433 	-4.7653 
-2.5268 	-4.3911 
9.2269 	-3.0995 
5.7357 	6.4757 
-5.4148 	-1.9916 
5.6447 	6.4710 
-3.3638 	-4.0244 
2.8642 	-2.5269 
2.7826 	-10.4052 
8.3738 	3.6677 
-1.7174 	-10.8186 
8.9445 	-4.2271 
8.8610 	2.5115 
4.6158 	-9.4220 
1.1179 	-10.6882 
-4.9851 	-10.0698 
0.5866 	1.7618 
1.9091 	-10.6131 
9.3406 	0.7639 
-5.0955 	-10.1094 
7.2899 	5.3585 
5.0117 	7.1039 
5.2095 	-8.9823 
-6.2252 	0.2889 
5.8970 	6.4079 
-0.0559 	-10.8341 
8.8149 	2.8906 
3.0801 	-10.1395 
7.9118 	-6.4699 
9.0010 	2.3423 
-6.2258 	1.4852 
9.3711 	-2.3802 
1.1851 	-4.1075 
9.6363 	-0.0551 
9.4526 	-2.2146 
8.1685 	-6.0138 
0.5818 	-10.8119 
-4.7817 	-10.1991 
6.6757 	-7.8629 
8.8980 	2.5770 
-1.5950 	-10.8214 
8.8774 	2.5697 
2.8147 	0.9044 
-1.5371 	-4.7102 
2.0628 	-10.5843 
5.1477 	6.9701 
2.9938 	-10.1512 
-5.9581 	-0.9194 
8.0477 	4.1018 
9.5811 	-0.3092 
3.2798 	-0.6753 
9.4716 	0.5114 
-2.0342 	7.3332 
3.0754 	-2.2147 
5.4384 	6.7146 
-5.4672 	-1.9636 
-1.7166 	-4.7224 
-5.8569 	-1.1439 
-3.1964 	-4.0885 
-5.4172 	-2.1825 
3.3767 	-1.5530 
9.6672 	-0.6213 
-5.6024 	3.7805 
7.6509 	4.6946 
8.9789 	-4.1690 
5.9803 	6.4435 
7.4914 	4.8454 
3.0414 	7.8099 
-1.6661 	-4.5577 
5.5095 	6.7639 
2.5571 	-10.3232 
1.3694 	-10.5948 
-5.9917 	3.1471 
-5.8529 	-0.9139 
8.5977 	3.5145 
9.6172 	-1.0028 
1.2707 	7.9693 
-5.9217 	-0.9960 
-2.7911 	-10.7206 
1.4329 	-4.1392 
-0.3651 	-4.6484 
-2.8404 	-4.2840 
-4.4518 	-3.3466 
9.4734 	0.1797 
8.7497 	2.9300 
2.9512 	-2.4670 
-1.8029 	-10.9052 
8.1940 	-5.9277 
7.8986 	-6.2555 
2.5888 	-3.1664 
2.2819 	-10.4215 
-1.9746 	-10.9006 
-4.8685 	-10.2312 
2.2842 	-10.4002 
6.0790 	-8.3321 
6.5277 	5.8794 
-4.9800 	-2.6779 
0.0353 	7.9994 
-2.3899 	-4.4621 
3.4615 	-0.3929 
-2.2622 	-10.7860 
-5.0902 	4.9767 
-5.2982 	4.6031 
-3.6070 	6.3357 
4.3104 	7.3763 
9.5925 	-1.3017 
3.2019 	-0.0265 
3.1285 	-10.2071 
8.4093 	3.7327 
2.5788 	-10.3710 
-2.8129 	6.8175 
2.9127 	7.8174 
2.9718 	-2.4610 
-4.9230 	-2.8673 
9.5462 	-2.2607 
-3.8425 	6.2307 
0.0320 	-10.8035 
-1.2910 	-4.6770 
-4.9826 	-10.1895 
7.7365 	4.6198 
8.7102 	-4.7451 
-5.6695 	-9.8227 
-5.5753 	4.2098 
1.1043 	8.0834 
4.1157 	7.3735 
6.8758 	-7.5450 
4.3973 	-9.4499 
0.0582 	-4.6959 
-4.8429 	-2.6643 
-2.2403 	7.3408 
2.7566 	-2.7777 
6.8909 	5.4339 
-3.4705 	6.4691 
-4.8253 	-2.7978 
-5.9587 	-0.9106 
-0.2841 	-10.9440 
9.3191 	-2.9822 
4.3135 	7.2724 
-0.7037 	-11.0132 
-0.1449 	-4.5945 
7.5968 	-6.7002 
7.9742 	-6.3205 
8.5209 	3.6631 
-5.2621 	-2.4906 
9.2491 	1.6208 
-5.1196 	4.8566 
-2.4461 	-4.5036 
-6.0568 	-0.6894 
0.2998 	-10.8757 
2.1611 	-3.5686 
-6.3202 	1.3552 
3.0306 	-2.5883 
2.6808 	7.8003 
2.6750 	1.1944 
0.1787 	-10.8210 
-5.6293 	-1.6878 
0.6139 	-4.5389 
-4.8218 	5.2180 
3.6561 	7.6125 
-0.0734 	-4.5610 
-5.5034 	-9.8984 
-3.7006 	6.3895 
-5.1121 	4.7145 
2.5325 	-3.0410 
-5.1763 	4.8012 
3.2734 	-1.9936 
6.1445 	6.1541 
7.1310 	-7.5430 
9.6151 	-0.2984 
0.8322 	-4.3947 
1.3900 	-4.1132 
6.3923 	-8.1612 
-0.3374 	-10.9198 
7.5645 	4.9442 
-0.5319 	-4.7928 
4.1706 	-9.8204 
-3.3814 	6.4736 
-5.3281 	4.4697 
7.6911 	-6.8323 
2.2846 	1.4588 
3.1093 	-2.0019 
9.4121 	-2.5771 
9.3666 	1.1904 
7.1692 	5.3480 
8.2022 	-5.8722 
8.8599 	-4.8026 
6.3060 	-8.3614 
-5.4912 	4.0782 
9.1666 	-4.0451 
8.1922 	3.9091 
-0.1362 	7.9252 
2.5779 	-3.0261 
6.2820 	-8.1829 
-3.4373 	6.5548 
9.4629 	1.0351 
7.7870 	-6.4405 
-0.2926 	-4.6441 
-1.9644 	-4.5158 
8.0807 	4.2177 
5.1254 	6.8125 
0.5655 	-10.9375 
5.3402 	-8.8717 
8.0019 	-6.2169 
3.0178 	-2.2801 
1.9475 	-3.6915 
0.9506 	-4.3501 
5.3744 	-8.8506 
-2.5698 	-10.8194 
9.1662 	-3.4637 
-2.3281 	-4.5151 
8.3224 	-5.5037 
-0.6161 	-4.7329 
-1.2268 	-4.7790 
9.5580 	-0.9908 
-3.9425 	6.2284 
9.6354 	-1.6493 
7.4853 	-6.7948 
9.0364 	2.3711 
7.8431 	-6.4050 
-6.2788 	0.8089 
8.0619 	-6.2284 
-4.0215 	-10.4743 
1.8397 	-10.5928 
1.1439 	-4.2535 
-1.7799 	7.4845 
-1.7124 	7.4606 
9.1724 	-3.6183 
9.2627 	1.6523 
5.9375 	-8.5947 
-1.7483 	7.5197 
-5.8934 	-1.1542 
1.0976 	-4.3761 
6.7078 	-7.8098 
-5.8519 	-1.0371 
-0.5455 	7.9422 
8.0748 	4.1842 
-6.3095 	0.3100 
9.5130 	-1.0028 
5.1011 	7.0068 
-3.5604 	-3.9388 
6.0910 	-8.2166 
0.1174 	-4.7118 
-5.2772 	4.5904 
-6.3594 	1.0455 
7.2575 	5.1325 
0.6460 	-4.4537 
0.4891 	7.9619 
-0.3560 	-4.6327 
-0.9341 	-4.8115 
6.1243 	-8.4126 
-5.4161 	4.4382 
9.3826 	1.2719 
-3.7483 	-10.5775 
2.1670 	7.9414 
8.9410 	-4.1229 
7.0805 	-7.2069 
2.1075 	8.0372 
9.5513 	-1.8143 
-0.6994 	-4.6103 
-1.9270 	-10.8948 
-5.2310 	-2.2312 
-5.9275 	2.7774 
5.4628 	-8.9369 
5.2907 	6.8764 
6.6852 	-7.7216 
-0.0709 	7.9351 
-5.8352 	3.3212 
3.3497 	-1.0908 
9.3648 	-2.8508 
2.0283 	7.9074 
3.4239 	7.7124 
9.3384 	0.8211 
2.7684 	-3.0016 
-4.4567 	5.6486 
6.5708 	-7.9016 
9.0747 	-4.2344 
-1.8121 	-4.6475 
-2.1966 	-4.5259 
0.6690 	-4.4509 
2.0132 	1.5873 
1.5680 	7.9342 
9.5926 	-1.9213 
8.4513 	-5.6175 
7.4610 	5.1020 
-0.6524 	-4.7730 
9.5111 	-0.3721 
-1.9695 	-4.7087 
-2.3988 	-4.5435 
0.1059 	-4.5034 
-2.9557 	-4.1726 
-4.3840 	-3.3312 
-5.5919 	-1.6978 
-4.4259 	5.7628 
-4.5039 	5.5896 
-6.1068 	-0.2806 
-6.1228 	1.9248 
0.2892 	-10.8425 
8.8477 	-4.6525 
8.3113 	3.8850 
-5.2780 	-2.3079 
-5.9603 	-0.6704 
1.7838 	-3.9607 
-0.8859 	-10.9142 
8.7002 	-4.7945 
8.3408 	3.8174 
-4.4920 	5.5945 
-4.3344 	-3.2648 
9.5998 	0.1025 
-5.0834 	-10.1140 
-4.5180 	-3.1594 
-6.1764 	2.3977 
-0.0456 	7.8532 
1.8352 	-3.8278 
9.2843 	-3.4208 
0.3415 	7.8954 
-4.7000 	-10.2486 
0.3649 	8.0373 
9.4206 	0.3019 
-3.6130 	-3.9164 
-0.9750 	7.7266 
-4.0360 	-3.5945 
7.2185 	-7.3019 
1.6771 	-10.6328 
-2.8137 	6.9285 
9.1887 	-3.4840 
-5.2794 	4.5255 
7.4281 	5.0633 
3.7995 	-9.8954 
9.3153 	1.6995 
-3.5421 	6.5100 
-5.1114 	4.8112 
3.4618 	7.6733 
1.4807 	7.9542 
-2.1752 	7.2739 
8.3015 	3.7253 
7.6422 	-6.6142 
1.7273 	8.0773 
1.9186 	8.0432 
-1.8290 	-4.5760 
3.2467 	0.2343 
-5.4797 	4.2113 
-4.4331 	5.6957 
9.5226 	-1.6846 
-3.3347 	-10.5914 
-2.1314 	-10.8413 
3.7229 	7.5589 
-6.3271 	1.2147 
6.8818 	-7.4878 
7.0422 	-7.3315 
7.7640 	-6.5699 
7.7496 	-6.5482 
-0.4148 	-4.7756 
9.3080 	-3.3326 
4.0498 	7.3920 
-5.9364 	-0.7219 
0.2549 	-4.5299 
4.1522 	-9.7278 
-4.8236 	-2.8223 
-4.2139 	-3.4137 
9.4171 	-2.4593 
0.3462 	-10.9279 
6.8103 	5.6946 
8.8765 	-4.4710 
-3.7046 	-3.9650 
-3.0836 	-10.6788 
7.6810 	4.6740 
9.2781 	-3.1839 
3.3609 	-0.9348 
4.9249 	-9.2754 
7.6205 	-6.9129 
-1.3674 	-4.6090 
7.2097 	5.4421 
-4.0731 	6.0572 
7.9383 	4.2964 
0.0096 	7.9667 
1.1568 	7.9542 
-5.0162 	-2.5875 
-6.1020 	2.1159 
3.1626 	0.4964 
-1.3279 	-10.8832 
9.5241 	-1.7074 
-2.0293 	-10.8342 
-4.2073 	-3.5179 
-1.3232 	-10.8989 
5.5574 	-8.8538 
8.8021 	2.8109 
2.5589 	7.9010 
-6.0983 	2.3781 
7.4511 	-7.1006 
-6.2130 	0.4655 
2.4486 	-3.2250 
6.8728 	-7.6752 
9.4078 	-2.7763 
8.6539 	-5.2827 
9.6550 	-0.9487 
1.3222 	7.9414 
-0.3917 	7.8476 
4.5413 	-9.4399 
-4.3775 	5.7873 
4.7117 	-9.4131 
5.9194 	-8.4638 
2.5881 	-10.3998 
6.3110 	6.1586 
9.4788 	-0.5983 
-2.9917 	-10.8315 
2.9230 	7.8645 
2.7517 	-2.9701 
1.8303 	-10.5270 
1.2649 	-7.5756 
4.6207 	-5.5147 
5.1659 	10.3853 
-8.2671 	5.5852 
-0.7788 	-7.7227 
0.0601 	4.7570 
-7.8982 	6.3046 
-9.3195 	0.9939 
-1.6283 	3.9433 
1.5435 	4.8989 
4.9455 	10.4158 
-5.5627 	-6.3870 
-2.8506 	-0.2181 
-2.8258 	2.7734 
3.1456 	4.4612 
-0.1042 	11.0487 
-4.0362 	-7.1801 
-8.2427 	-3.3795 
-5.4458 	-6.3304 
-2.0190 	3.6189 
0.0289 	11.0343 
5.6744 	-3.9541 
6.1111 	-2.9137 
-8.8966 	-1.6464 
-4.5549 	-6.9285 
2.0218 	-7.2615 
-9.3798 	1.9888 
2.5260 	11.1554 
-9.3677 	-0.1441 
5.8972 	-3.6041 
5.9549 	1.2748 
-2.3566 	-7.6889 
-3.0915 	0.3958 
-1.1479 	10.8860 
-9.2663 	-0.7635 
6.0673 	1.4548 
-6.7663 	-5.4481 
-2.7738 	2.6339 
-2.0101 	10.7592 
-2.6775 	-7.6317 
-7.7893 	-4.1642 
-8.3002 	-3.2042 
-9.1490 	3.4115 
1.8165 	-7.4216 
-1.3916 	4.1404 
-3.5045 	-7.3209 
-2.9835 	2.2382 
-7.5848 	6.5204 
-3.2520 	1.3520 
3.4128 	10.9405 
-7.5132 	6.7793 
2.4261 	11.0847 
-6.4054 	-5.6025 
6.4737 	-1.0188 
6.3027 	-2.1902 
-7.0217 	7.4672 
5.4681 	10.1438 
2.6284 	-7.0106 
-7.1412 	7.3240 
0.9556 	4.8854 
-8.9334 	-1.3444 
-1.9451 	-7.7361 
-7.8875 	6.1656 
6.3209 	-2.2319 
-0.2682 	4.7994 
-3.1233 	-7.4379 
-9.3822 	1.0519 
2.4983 	4.6726 
-3.1124 	-7.4200 
-9.4316 	1.8619 
-3.7569 	9.9676 
5.0115 	-4.9407 
-0.0326 	-7.7831 
-0.7435 	11.0979 
-8.7529 	4.6060 
